comment_text,toxic
indian naming conventions please note that the indian naming conventions are different the sons name is written first and then only the fathers name or surname is written hence the correct name will be karunanidhi muthuvel and not what you have corrected in fact this is a name name never uses indian always write their name as mkarunanidhi,0
relationship to other areas of psychology this section recently added is entirely unsourced subjective based only on opinion we just require a reliable source specifically stating these points it also seems irrelevant to health psychology too i will leave these comments here if other editors wish to discuss if no discussion i think someone needs to boldly delete this entirely unsourced section to the article thoughts please,0
cyberwar much to much spotlight on petty internet vandals also removed the censorship part from the headline since the article said precious little about censorship in georgia and nothing about censorship in russia,0
you are being evasive and noncollegial i asked you a direct relevant question you alluded to wpel but it does not seem to apply if you believe it applies please quote the part that is most appropriate quotes or it didnt happen,0
the page is ok now all tags removed best isa,0
so is it totally dead or we have a chance to see it sometime,0
un eu nato etc respect the negotiation process agreements and the provisional reference the republic of macedonia as a sign of good will towards greece has accepted un eu nato dont really give a damn how the greeks feel about some states and regions names,0
bye dont look come or think of comming back tosser,1
this is the worst article on wikipedia the fact that wikipedia cites leftist cranks who believe that hatred of a religion is somehow racism is just ridiculous,0
note from the subject book r la prabhup dal l m ta and he did not have to flatter anyone support anyone or manage anyones life his mind and intelligence were free and dwelt constantly on his service to his spiritual master he saw his present circumstances as a preparation for a greater task before him despite his advanced age he felt that he had barely begun his work yet he felt confident he had his vision of a world association of devotees it was not an idle dream although he was not certain how it would all come about but he knew his duty for the present he would go on describing his vision the vision of his predecessor spiritual masters in articles and books but as soon as possible he should go to the west westerners he had concluded were not satisfied with a materially comfortable life devoid of spiritual understanding more than his fellow indians they would be open to the message of the absolute truth he knew he should go and he would goif name desired abhay lived frugally in v nd vana keeping exact account of every expenditure and every receipt he carefully kept a ledger just as if he were running a substantial business even though his purchases were only a little milk a few vegetables charcoal for cooking bus rides and his major expenditure postage abhay composed a bengali poem v nd vanabhajana its opening stanzas were especially selfreflective and personal i am sitting alone in v nd vanadh ma in this mood i am getting many realizations i have my wife sons daughters grandsons everything but i have no money so they are a fruitless glory name has shown me the naked form of material nature by his strength it has all become tasteless to me today name anug h mi hari ye taddhana anai i gradually take away all the wealth of those upon whom i am merciful how was i able to understand this mercy of the allmerciful r la prabhup da is here in the advanced age of his supporters friends and family left him broke r la prabhup dal l m ta another reference prabhup das most ambitious literary undertaking the completion of name was to be no less than sixty volumes he had begun in india in and all along he had been aware that he was attempting a gigantic task at an advanced age now name was giving him opportunities both for writing name literatures and for travelling and he was working at an amazing pace prabhup da is here in advanced age of starting to write his bhaktivedanta purports i guess in india it was an advanced age but not in florida,0
vandal hi there name vasco here longtime no see hope alls fine by you unfortunately the first time i address you in a year is not for a good matter could you please reprotect the gustavo manduca page the greek vandal as returned inserting false info in the subjects article thanks a million in advance keep up the good work vasco portugal,0
